Manufacturer,Model,SystemID,Security Level
Amazon,AFTRS/AFTRS/AFTKMST12,6948,L1
Amazon,AFTS,6164,L1
Amazon,AFTS,6331,L1
Amazon,AFTSO001,12064,L1
Amazon,AFTSO001-MP,14670,L1
Amazon,AFTT/AFTT,6590,L1
Amazon,AFTT/Tank-Prod2,16384,L1
Amazon,Alexa-Test-R,18784,L3
Amazon,Alexa-x86_64,18220,L3
Amazon,Almond,23228,L1
Amazon,Almond-Prod,23229,L1
Amazon,Amelie-Prod,26128,L1
Amazon,Anna,20823,L1
Amazon,Anna-Prod,20833,L1
Amazon,Athena-Prod,18537,L1
Amazon,Brandenburg,16342,L1
Amazon,Burgundy-Prod,19216,L1
Amazon,Burgundy-Test,16164,L1
Amazon,Checkers-Prod2,16413,L1
Amazon,Clara-MP,15575,L1
Amazon,Cronos-Prod,20300,L1
Amazon,Crown-Prod2,16385,L1
Amazon,Duckie-Prod,16306,L1
Amazon,Duckie-Test,15516,L1
Amazon,Dwight-Prod,16979,L1
Amazon,Echo,18012,L3
Amazon,Echo-aarch64,18221,L3
Amazon,Echo-arm,18028,L3
Amazon,Echo-arm32-linux,19583,L3
Amazon,Echo-x86,18029,L3
Amazon,Echo2-aarch64,18419,L3
Amazon,Echo2-arm,18418,L3
Amazon,Echo2-x86,18420,L3
Amazon,Echo2-x86_64,18421,L3
Amazon,Echo3-aarch64,18423,L3
Amazon,Echo3-arm,18422,L3
Amazon,Echo3-x86,18424,L3
Amazon,Echo3-x86_64,18426,L3
Amazon,Echo4-arm,19376,L3
Amazon,Echo5-arm,19410,L3
Amazon,Echo6-arm,19411,L3
Amazon,Echo7-arm,19412,L3
Amazon,Fort-Prod,18843,L1
Amazon,Gazelle-Prod,25518,L1
Amazon,Generic/AFTRS/AFTJMST12/AEOBP,6613,L1
Amazon,Glenn-Prod,21860,L1
Amazon,GretaPlus-MP,14824,L1
Amazon,Groot-Prod,26126,L1
Amazon,Hailey,19469,L1
Amazon,Hailey-Prod,19470,L1
Amazon,HaileyPlus,21482,L1
Amazon,HaileyPlus-Prod,21483,L1
Amazon,Hazel,25206,L1
Amazon,Hector,20219,L1
Amazon,Hector-Prod,20220,L1
Amazon,Hoya,22074,L1
Amazon,Hoya-Prod,22075,L1
Amazon,Hypnos-Prod,25345,L1
Amazon,iOS,11274,L3
Amazon,iOS,12982,L3
Amazon,iOS,14246,L3
Amazon,Juliana,21480,L1
Amazon,Juliana-Prod,21481,L1
AMAZON,k26_p1,6517,L1
Amazon,Kara,20777,L1
Amazon,Kara-Prod,20778,L1
Amazon,Karnak-Prod2,16510,L1
Amazon,Kayla,24609,L1
Amazon,Kayla-Prod,24858,L1
Amazon,KFARWI,5597,L1
Amazon,KFARWI,5685,L1
Amazon,KFASWI,5598,L1
Amazon,KFASWI,5684,L1
Amazon,KFAUWI,6898,L1
Amazon,KFDOWI,6887,L1
AMAZON,KFDOWI/KFDOWI,7298,L1
Amazon,KFGIWI,6852,L1
Amazon,KFGIWI/KFGIWI,6547,L1
Amazon,KFKAWI/KFKAWI,7713,L1
Amazon,KFMAWI,13263,L1
AMAZON,KFMEWI,6141,L1
AMAZON,KFMEWI/KFMEWI,6336,L1
Amazon,KFMUWI,9747,L1
Amazon,KFSAWA,5558,L1
Amazon,KFSAWA,5643,L1
Amazon,KFSAWI,5559,L1
Amazon,KFSAWI,5642,L1
Amazon,KFSLWI,6121,L1
Amazon,KFSUWI,7079,L1
Amazon,KFSUWI/KFSUWI/SM-T820,7472,L1
